,Códigos dos Municípios,Nome dos Municípios,Anos,Porcentagem de Docentes com Formação Adequada no Fundamental,Porcentagem de Alunos do Ensino Fundamental em Escolas com Laboratório de Informática,Porcentagem de Alunos do Ensino Fundamental em Escolas com Acesso à Internet
273,2602308,Bonito (PE),2016,50.3,87.36,80.42
274,2602308,Bonito (PE),2017,46.6,80.19,70.54
275,2602308,Bonito (PE),2018,NA,NA,NA
276,2602407,Brejão (PE),2008,NA,NA,NA
277,2602407,Brejão (PE),2009,NA,NA,NA
278,2602407,Brejão (PE),2010,NA,NA,NA
279,2602407,Brejão (PE),2011,NA,NA,NA
280,2602407,Brejão (PE),2012,NA,NA,NA
281,2602407,Brejão (PE),2013,35.4,11.13,32.69
282,2602407,Brejão (PE),2014,49.4,5.8,28.74
283,2602407,Brejão (PE),2015,48.3,0,24.92
284,2602407,Brejão (PE),2016,52.7,0,27.34
285,2602407,Brejão (PE),2017,47.4,0,77.57
286,2602407,Brejão (PE),2018,NA,NA,NA
287,2602506,Brejinho (PE),2008,NA,NA,NA
288,2602506,Brejinho (PE),2009,NA,NA,NA
289,2602506,Brejinho (PE),2010,NA,NA,NA
290,2602506,Brejinho (PE),2011,NA,NA,NA
291,2602506,Brejinho (PE),2012,NA,NA,NA
292,2602506,Brejinho (PE),2013,49.9,70.14,70.14
293,2602506,Brejinho (PE),2014,52.5,69.75,69.75
294,2602506,Brejinho (PE),2015,49.6,69.94,82.55
295,2602506,Brejinho (PE),2016,45.9,69.97,84.17
296,2602506,Brejinho (PE),2017,74.6,79.41,86.07
297,2602506,Brejinho (PE),2018,NA,NA,NA
298,2602605,Brejo da Madre de Deus (PE),2008,NA,NA,NA
299,2602605,Brejo da Madre de Deus (PE),2009,NA,NA,NA
300,2602605,Brejo da Madre de Deus (PE),2010,NA,NA,NA
301,2602605,Brejo da Madre de Deus (PE),2011,NA,NA,NA
302,2602605,Brejo da Madre de Deus (PE),2012,NA,NA,NA
303,2602605,Brejo da Madre de Deus (PE),2013,18.7,21.41,61.84
304,2602605,Brejo da Madre de Deus (PE),2014,32.8,49.46,62.63
305,2602605,Brejo da Madre de Deus (PE),2015,32.3,73.78,84.41
306,2602605,Brejo da Madre de Deus (PE),2016,30.9,72.95,84.1
307,2602605,Brejo da Madre de Deus (PE),2017,30.8,79.24,86.75
308,2602605,Brejo da Madre de Deus (PE),2018,NA,NA,NA
309,2602704,Buenos Aires (PE),2008,NA,NA,NA
310,2602704,Buenos Aires (PE),2009,NA,NA,NA
311,2602704,Buenos Aires (PE),2010,NA,NA,NA
312,2602704,Buenos Aires (PE),2011,NA,NA,NA
313,2602704,Buenos Aires (PE),2012,NA,NA,NA
314,2602704,Buenos Aires (PE),2013,38.8,78.68,50.47
315,2602704,Buenos Aires (PE),2014,43.5,77.94,43.74
316,2602704,Buenos Aires (PE),2015,47,81.27,89.91
317,2602704,Buenos Aires (PE),2016,48.8,82.26,87.58
318,2602704,Buenos Aires (PE),2017,49.4,87.38,24.32
319,2602704,Buenos Aires (PE),2018,NA,NA,NA
320,2602803,Buíque (PE),2008,NA,NA,NA
321,2602803,Buíque (PE),2009,NA,NA,NA
322,2602803,Buíque (PE),2010,NA,NA,NA
323,2602803,Buíque (PE),2011,NA,NA,NA
324,2602803,Buíque (PE),2012,NA,NA,NA
325,2602803,Buíque (PE),2013,24,52.88,40
326,2602803,Buíque (PE),2014,25.9,52.8,45.34
327,2602803,Buíque (PE),2015,31.6,53.66,62.95
328,2602803,Buíque (PE),2016,32,53.6,66.55
329,2602803,Buíque (PE),2017,32.3,49.54,81.28
330,2602803,Buíque (PE),2018,NA,NA,NA
331,2602902,Cabo de Santo Agostinho (PE),2008,NA,NA,NA
332,2602902,Cabo de Santo Agostinho (PE),2009,NA,NA,NA
333,2602902,Cabo de Santo Agostinho (PE),2010,NA,NA,NA
334,2602902,Cabo de Santo Agostinho (PE),2011,NA,NA,NA
335,2602902,Cabo de Santo Agostinho (PE),2012,NA,NA,NA
336,2602902,Cabo de Santo Agostinho (PE),2013,53.5,54.29,66.67
337,2602902,Cabo de Santo Agostinho (PE),2014,57,54.69,56.59
338,2602902,Cabo de Santo Agostinho (PE),2015,55.7,48.17,55.11
339,2602902,Cabo de Santo Agostinho (PE),2016,56.2,45.93,63.98
340,2602902,Cabo de Santo Agostinho (PE),2017,53.6,39.14,62.5
341,2602902,Cabo de Santo Agostinho (PE),2018,NA,NA,NA
342,2603009,Cabrobó (PE),2008,NA,NA,NA
343,2603009,Cabrobó (PE),2009,NA,NA,NA
344,2603009,Cabrobó (PE),2010,NA,NA,NA
345,2603009,Cabrobó (PE),2011,NA,NA,NA
346,2603009,Cabrobó (PE),2012,NA,NA,NA
347,2603009,Cabrobó (PE),2013,23.9,59.27,64.61
348,2603009,Cabrobó (PE),2014,23.7,58.22,73.53
349,2603009,Cabrobó (PE),2015,19.5,59.87,73.63
350,2603009,Cabrobó (PE),2016,18.4,60.59,85.1
351,2603009,Cabrobó (PE),2017,19.9,46.23,87.14
