,codigo_do_municipio,ano,proficiencia_media_matematica
840,2607000,2013,175.61333333333332
841,2607000,2014,178.8470588235294
842,2607000,2015,193.62307692307692
843,2607000,2016,182.33333333333334
844,2607000,2017,194.9272727272727
845,2607000,2018,199.34
846,2607109,2008,163.625
847,2607109,2009,181.06
848,2607109,2010,161.5
849,2607109,2011,210.08333333333334
850,2607109,2012,227.4333333333333
851,2607109,2013,193.1833333333333
852,2607109,2014,212.1833333333333
853,2607109,2015,204.88333333333333
854,2607109,2016,238.83333333333334
855,2607109,2017,269.78000000000003
856,2607109,2018,218.25
857,2607208,2008,153.48888888888888
858,2607208,2009,160.765625
859,2607208,2010,159.23166666666665
860,2607208,2011,170.86964285714288
861,2607208,2012,179.6916666666667
862,2607208,2013,162.87333333333333
863,2607208,2014,163.6695652173913
864,2607208,2015,176.365
865,2607208,2016,170.459375
866,2607208,2017,172.75945945945946
867,2607208,2018,185.3230769230769
868,2607307,2008,171.62222222222223
869,2607307,2009,181.90689655172415
870,2607307,2010,176.39
871,2607307,2011,179.9344827586207
872,2607307,2012,178.29999999999998
873,2607307,2013,184.89545454545453
874,2607307,2014,178.76785714285714
875,2607307,2015,184.204
876,2607307,2016,180.84545454545454
877,2607307,2017,191.5041666666667
878,2607307,2018,202.41666666666666
879,2607406,2008,161.20000000000002
880,2607406,2009,173.5
881,2607406,2010,165.39999999999998
882,2607406,2011,181.55
883,2607406,2012,185.8
884,2607406,2013,183.35
885,2607406,2014,186.6
886,2607406,2015,197.3
887,2607406,2016,187.8
888,2607406,2017,202.6
889,2607406,2018,206.4
890,2607505,2008,152.7047619047619
891,2607505,2009,166.41951219512194
892,2607505,2010,156.84411764705882
893,2607505,2011,171.97727272727272
894,2607505,2012,175.19111111111113
895,2607505,2013,170.08085106382978
896,2607505,2014,171.49677419354836
897,2607505,2015,186.459375
898,2607505,2016,176.52941176470588
899,2607505,2017,191.82727272727274
900,2607505,2018,211.35
901,2607604,2008,163.58461538461538
902,2607604,2009,176.4
903,2607604,2010,168.84
904,2607604,2011,171.01818181818183
905,2607604,2012,185.09
906,2607604,2013,186.51666666666665
907,2607604,2014,181.39090909090908
908,2607604,2015,178.14545454545456
909,2607604,2016,177.96666666666667
910,2607604,2017,194.23846153846154
911,2607604,2018,192.66666666666666
912,2607653,2008,147.47391304347826
913,2607653,2009,163.3684210526316
914,2607653,2010,162.52
915,2607653,2011,173.56470588235294
916,2607653,2012,191.57
917,2607653,2013,170.375
918,2607653,2014,181.95833333333334
919,2607653,2015,177.975
920,2607653,2016,166.43846153846152
921,2607653,2017,180.76
922,2607653,2018,184.175
923,2607703,2008,166.82500000000002
924,2607703,2009,174.12
925,2607703,2010,171.3
926,2607703,2011,182.79000000000002
927,2607703,2012,191.5727272727273
928,2607703,2013,174.8
929,2607703,2014,187.58461538461538
930,2607703,2015,201.65454545454543
931,2607703,2016,197.9
932,2607703,2017,215.625
933,2607703,2018,233.42857142857142
934,2607752,2008,158.98999999999998
935,2607752,2009,171.82999999999998
